2024-06-20 21:19:26 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | Task:<function request at 0x000002314D5C6290>|args:['https://baidu.com'],kwargs:{}|status:TaskStus.Finish|res:None,runtime:0.59s
2024-06-20 21:19:26 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | Task:<function request at 0x000002314D5C6290>|args:['https://baidu.com'],kwargs:{}|status:TaskStus.Finish|res:None,runtime:0.59s
2024-06-20 21:19:26 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | Task:<function request at 0x000002314D5C6290>|args:['https://baidu.com'],kwargs:{}|status:TaskStus.Finish|res:None,runtime:0.59s
2024-06-20 21:19:26 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | Task:<function request at 0x000002314D5C6290>|args:['https://baidu.com'],kwargs:{}|status:TaskStus.Finish|res:None,runtime:0.66s
2024-06-20 21:19:26 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | Task:<function request at 0x000002314D5C6290>|args:['https://baidu.com'],kwargs:{}|status:TaskStus.Finish|res:None,runtime:0.74s
2024-06-20 21:19:26 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | Task:<function request at 0x000002314D5C6290>|args:['https://baidu.com'],kwargs:{}|status:TaskStus.Finish|res:None,runtime:0.75s
2024-06-20 21:19:26 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | Task:<function request at 0x000002314D5C6290>|args:['https://baidu.com'],kwargs:{}|status:TaskStus.Finish|res:None,runtime:1.06s
2024-06-20 21:19:26 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | Task:<function request at 0x000002314D5C6290>|args:['https://baidu.com'],kwargs:{}|status:TaskStus.Finish|res:None,runtime:1.07s
2024-06-20 21:19:26 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | Task:<function request at 0x000002314D5C6290>|args:['https://baidu.com'],kwargs:{}|status:TaskStus.Finish|res:None,runtime:1.15s
2024-06-20 21:19:26 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | Task:<function request at 0x000002314D5C6290>|args:['https://baidu.com'],kwargs:{}|status:TaskStus.Finish|res:None,runtime:1.2s
2024-06-20 21:19:26 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | Task:<function request at 0x000002314D5C6290>|args:['https://baidu.com'],kwargs:{}|status:TaskStus.Finish|res:None,runtime:1.21s
2024-06-20 21:19:26 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | Task:<function request at 0x000002314D5C6290>|args:['https://baidu.com'],kwargs:{}|status:TaskStus.Finish|res:None,runtime:1.21s
2024-06-20 21:19:26 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | Task:<function request at 0x000002314D5C6290>|args:['https://baidu.com'],kwargs:{}|status:TaskStus.Finish|res:None,runtime:1.22s
2024-06-20 21:19:26 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | Task:<function request at 0x000002314D5C6290>|args:['https://baidu.com'],kwargs:{}|status:TaskStus.Finish|res:None,runtime:1.24s
2024-06-20 21:19:26 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | Task:<function request at 0x000002314D5C6290>|args:['https://baidu.com'],kwargs:{}|status:TaskStus.Finish|res:None,runtime:1.25s
2024-06-20 21:19:26 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | Task:<function request at 0x000002314D5C6290>|args:['https://baidu.com'],kwargs:{}|status:TaskStus.Finish|res:None,runtime:1.25s
2024-06-20 21:19:27 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | Task:<function request at 0x000002314D5C6290>|args:['https://baidu.com'],kwargs:{}|status:TaskStus.Finish|res:None,runtime:1.39s
2024-06-20 21:19:27 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | Task:<function request at 0x000002314D5C6290>|args:['https://baidu.com'],kwargs:{}|status:TaskStus.Finish|res:None,runtime:1.49s
2024-06-20 21:19:27 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | Task:<function request at 0x000002314D5C6290>|args:['https://baidu.com'],kwargs:{}|status:TaskStus.Finish|res:None,runtime:0.49s
2024-06-20 21:19:27 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | Task:<function request at 0x000002314D5C6290>|args:['https://baidu.com'],kwargs:{}|status:TaskStus.Finish|res:None,runtime:0.49s
2024-06-20 21:19:27 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | Task:<function request at 0x000002314D5C6290>|args:['https://baidu.com'],kwargs:{}|status:TaskStus.Finish|res:None,runtime:0.5s
2024-06-20 21:19:27 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | Task:<function request at 0x000002314D5C6290>|args:['https://baidu.com'],kwargs:{}|status:TaskStus.Finish|res:None,runtime:0.5s
2024-06-20 21:19:27 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | Task:<function request at 0x000002314D5C6290>|args:['https://baidu.com'],kwargs:{}|status:TaskStus.Finish|res:None,runtime:0.51s
2024-06-20 21:19:27 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | Task:<function request at 0x000002314D5C6290>|args:['https://baidu.com'],kwargs:{}|status:TaskStus.Finish|res:None,runtime:0.54s
2024-06-20 21:19:27 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | Task:<function request at 0x000002314D5C6290>|args:['https://baidu.com'],kwargs:{}|status:TaskStus.Finish|res:None,runtime:0.54s
2024-06-20 21:19:27 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | Task:<function request at 0x000002314D5C6290>|args:['https://baidu.com'],kwargs:{}|status:TaskStus.Finish|res:None,runtime:0.54s
2024-06-20 21:19:27 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | Task:<function request at 0x000002314D5C6290>|args:['https://baidu.com'],kwargs:{}|status:TaskStus.Finish|res:None,runtime:0.56s
2024-06-20 21:19:27 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | Task:<function request at 0x000002314D5C6290>|args:['https://baidu.com'],kwargs:{}|status:TaskStus.Finish|res:None,runtime:0.56s
2024-06-20 21:19:27 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | Task:<function request at 0x000002314D5C6290>|args:['https://baidu.com'],kwargs:{}|status:TaskStus.Finish|res:None,runtime:0.73s
2024-06-20 21:19:28 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | Task:<function request at 0x000002314D5C6290>|args:['https://baidu.com'],kwargs:{}|status:TaskStus.Finish|res:None,runtime:0.8s
2024-06-20 21:19:28 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | Task:<function request at 0x000002314D5C6290>|args:['https://baidu.com'],kwargs:{}|status:TaskStus.Finish|res:None,runtime:0.81s
2024-06-20 21:19:28 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | Task:<function request at 0x000002314D5C6290>|args:['https://baidu.com'],kwargs:{}|status:TaskStus.Finish|res:None,runtime:0.85s
2024-06-20 21:19:28 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | Task:<function request at 0x000002314D5C6290>|args:['https://baidu.com'],kwargs:{}|status:TaskStus.Finish|res:None,runtime:0.92s
2024-06-20 21:19:28 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | Task:<function request at 0x000002314D5C6290>|args:['https://baidu.com'],kwargs:{}|status:TaskStus.Finish|res:None,runtime:0.93s
2024-06-20 21:19:28 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | Task:<function request at 0x000002314D5C6290>|args:['https://baidu.com'],kwargs:{}|status:TaskStus.Finish|res:None,runtime:0.98s
2024-06-20 21:19:28 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | Task:<function request at 0x000002314D5C6290>|args:['https://baidu.com'],kwargs:{}|status:TaskStus.Finish|res:None,runtime:1.02s
2024-06-20 21:19:28 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | Task:<function request at 0x000002314D5C6290>|args:['https://baidu.com'],kwargs:{}|status:TaskStus.Finish|res:None,runtime:1.03s
2024-06-20 21:19:28 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | Task:<function request at 0x000002314D5C6290>|args:['https://baidu.com'],kwargs:{}|status:TaskStus.Finish|res:None,runtime:1.22s
2024-06-20 21:19:28 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | Task:<function request at 0x000002314D5C6290>|args:['https://baidu.com'],kwargs:{}|status:TaskStus.Finish|res:None,runtime:1.26s
2024-06-20 21:19:28 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | Task:<function request at 0x000002314D5C6290>|args:['https://baidu.com'],kwargs:{}|status:TaskStus.Finish|res:None,runtime:1.26s
2024-06-20 21:19:28 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | Task:<function request at 0x000002314D5C6290>|args:['https://baidu.com'],kwargs:{}|status:TaskStus.Finish|res:None,runtime:1.27s
2024-06-20 21:19:28 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | Task:<function request at 0x000002314D5C6290>|args:['https://baidu.com'],kwargs:{}|status:TaskStus.Finish|res:None,runtime:1.31s
2024-06-20 21:19:28 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | Task:<function request at 0x000002314D5C6290>|args:['https://baidu.com'],kwargs:{}|status:TaskStus.Finish|res:None,runtime:1.31s
2024-06-20 21:19:28 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | Task:<function request at 0x000002314D5C6290>|args:['https://baidu.com'],kwargs:{}|status:TaskStus.Finish|res:None,runtime:1.32s
2024-06-20 21:19:28 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | Task:<function request at 0x000002314D5C6290>|args:['https://baidu.com'],kwargs:{}|status:TaskStus.Finish|res:None,runtime:1.32s
2024-06-20 21:19:28 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | Task:<function request at 0x000002314D5C6290>|args:['https://baidu.com'],kwargs:{}|status:TaskStus.Finish|res:None,runtime:1.38s
2024-06-20 21:19:28 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | Task:<function request at 0x000002314D5C6290>|args:['https://baidu.com'],kwargs:{}|status:TaskStus.Finish|res:None,runtime:1.4s
2024-06-20 21:19:28 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | Task:<function request at 0x000002314D5C6290>|args:['https://baidu.com'],kwargs:{}|status:TaskStus.Finish|res:None,runtime:1.6s
2024-06-20 21:19:29 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | Task:<function request at 0x000002314D5C6290>|args:['https://baidu.com'],kwargs:{}|status:TaskStus.Finish|res:None,runtime:0.27s
2024-06-20 21:19:29 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | Task:<function request at 0x000002314D5C6290>|args:['https://baidu.com'],kwargs:{}|status:TaskStus.Finish|res:None,runtime:0.27s
2024-06-20 21:19:29 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | Task:<function request at 0x000002314D5C6290>|args:['https://baidu.com'],kwargs:{}|status:TaskStus.Finish|res:None,runtime:0.28s
2024-06-20 21:19:29 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | Task:<function request at 0x000002314D5C6290>|args:['https://baidu.com'],kwargs:{}|status:TaskStus.Finish|res:None,runtime:0.29s
2024-06-20 21:19:29 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | Task:<function request at 0x000002314D5C6290>|args:['https://baidu.com'],kwargs:{}|status:TaskStus.Finish|res:None,runtime:0.3s
2024-06-20 21:19:29 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | Task:<function request at 0x000002314D5C6290>|args:['https://baidu.com'],kwargs:{}|status:TaskStus.Finish|res:None,runtime:0.31s
2024-06-20 21:19:29 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | Task:<function request at 0x000002314D5C6290>|args:['https://baidu.com'],kwargs:{}|status:TaskStus.Finish|res:None,runtime:0.31s
2024-06-20 21:19:29 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | Task:<function request at 0x000002314D5C6290>|args:['https://baidu.com'],kwargs:{}|status:TaskStus.Finish|res:None,runtime:0.31s
2024-06-20 21:19:29 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | Task:<function request at 0x000002314D5C6290>|args:['https://baidu.com'],kwargs:{}|status:TaskStus.Finish|res:None,runtime:0.32s
2024-06-20 21:19:29 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | Task:<function request at 0x000002314D5C6290>|args:['https://baidu.com'],kwargs:{}|status:TaskStus.Finish|res:None,runtime:0.32s
2024-06-20 21:19:29 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | Task:<function request at 0x000002314D5C6290>|args:['https://baidu.com'],kwargs:{}|status:TaskStus.Finish|res:None,runtime:0.45s
2024-06-20 21:19:29 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | Task:<function request at 0x000002314D5C6290>|args:['https://baidu.com'],kwargs:{}|status:TaskStus.Finish|res:None,runtime:0.46s
